,codpro,codfor,estoque,min_dt_estoque
709,024833,00990,1.0,2016-11-16
710,024849,00422,1.0,2016-11-25
711,024855,00422,1.0,2016-11-25
712,026033,00447,16.0,2017-05-04
713,026039,00447,2.0,2017-05-04
714,024877,00427,2.0,2016-11-28
715,024895,00427,1.0,2016-11-28
716,024897,00427,1.0,2016-11-28
717,024917,00436,1.0,2016-12-02
718,026159,00527,1.0,2017-05-24
719,024985,00427,1.0,2016-12-15
720,024989,00427,1.0,2016-12-15
721,025025,00440,1.0,2016-12-22
722,025069,00436,2.0,2016-12-23
723,025099,01652,4.0,2017-02-10
724,025101,00417,1.0,2016-12-30
725,026363,00527,8.0,2017-06-13
726,026379,00171,4.0,2017-06-14
727,026383,00171,4.0,2017-06-14
728,026393,00171,5.0,2017-06-14
729,025107,00417,1.0,2017-01-11
730,025123,00253,1.0,2016-12-27
731,025176,00124,2.0,2017-02-03
732,025192,00990,5.0,2017-02-06
733,026491,00446,2.0,2017-06-26
734,025218,00572,3.0,2018-12-19
735,025220,00572,1.0,2018-12-19
736,025250,00572,4.0,2018-12-19
737,025236,00572,1.0,2018-12-21
738,025248,00572,3.0,2018-12-19
739,025386,00436,1.0,2017-03-06
740,025398,01652,5.0,2017-03-04
741,025412,01652,5.0,2017-03-04
742,025462,00338,4.0,2017-03-14
743,025524,00441,10.0,2017-03-16
744,026555,00451,1.0,2017-07-05
745,026549,00427,1.0,2017-07-06
746,025550,00445,4.0,2017-08-23
747,026577,00451,1.0,2017-07-05
748,026599,00451,2.0,2017-07-05
749,026609,00451,1.0,2017-07-05
750,026629,00451,1.0,2017-07-05
751,025630,00150,2.0,2017-03-24
752,025672,01652,1.0,2017-04-01
753,026761,00427,1.0,2017-08-01
754,026767,00427,1.0,2017-08-01
755,026907,00446,1.0,2017-08-12
756,026779,03115,3.0,2017-08-24
757,025750,01652,2.0,2017-04-07
758,026847,00445,2.0,2017-08-28
759,026877,00446,1.0,2017-08-12
