,codpro,codfor,estoque,min_dt_estoque
7804,090649,02932,4.0,2024-08-27
7805,084760,04469,1.0,2024-05-15
7806,084764,00124,2.0,2024-03-19
7807,084772,00515,1.0,2024-05-09
7808,084798,00256,1.0,2024-03-18
7809,084818,00468,8.0,2024-03-22
7810,090709,06331,4.0,2024-11-18
7812,084846,00338,1.0,2024-04-30
7813,084904,00338,7.0,2024-08-31
7814,084906,04469,7.0,2024-07-31
7825,084962,04469,5.0,2024-07-31
7826,084972,01652,1.0,2024-05-18
7827,084986,00182,6.0,2025-02-18
7828,090863,00471,2.0,2024-10-05
7830,090909,02932,8.0,2024-09-12
7831,085028,01652,2.0,2024-06-24
7832,085030,01524,6.0,2024-03-06
7833,085032,02722,2.0,2024-02-28
7839,085072,04469,1.0,2024-07-31
7840,085076,00182,6.0,2025-02-18
7841,090975,00261,4.0,2024-10-14
7846,085099,00182,3.0,2024-07-15
7847,085101,00182,6.0,2025-02-18
7848,091117,06331,1.0,2024-10-30
7849,091133,02932,2.0,2024-09-24
7852,091155,02932,4.0,2024-09-23
7853,091157,00572,2.0,2024-09-17
7854,091159,02932,8.0,2024-09-21
7855,091161,02932,8.0,2024-09-21
7856,091165,02932,2.0,2024-09-24
7858,085135,00182,6.0,2025-02-18
7859,085139,00463,2.0,2024-04-24
7861,085153,00182,6.0,2025-02-18
7863,085191,03115,3.0,2024-05-08
7864,085197,03115,5.0,2024-12-10
7865,085223,03488,4.0,2024-04-18
7867,085251,00182,3.0,2025-02-18
7868,085275,02530,3.0,2024-10-23
7869,085277,02530,3.0,2024-10-23
7870,085309,00256,1.0,2024-10-05
7871,085329,00182,2.0,2024-07-15
7872,085331,00182,6.0,2024-07-15
7873,085357,00182,6.0,2024-07-15
7874,085377,00182,2.0,2024-10-27
7875,085511,00256,2.0,2025-02-01
7876,091505,00470,2.0,2024-09-28
7877,085545,00256,5.0,2024-12-04
7878,085561,00182,2.0,2024-10-27
7879,085563,00182,6.0,2025-02-18
7880,085565,00182,3.0,2024-06-12
7881,085603,00182,4.0,2024-06-12
7882,085605,00182,4.0,2024-06-12
7883,085611,02613,3.0,2024-08-22
7884,085617,04845,3.0,2024-05-09
7885,085627,00451,1.0,2024-04-30
7886,085681,00338,3.0,2024-04-30
7888,085707,00425,4.0,2024-05-14
7889,085743,00256,2.0,2024-08-20
7890,085745,00441,2.0,2024-04-09
7891,091745,00360,12.0,2025-01-13
7892,091747,00360,6.0,2025-01-13
7893,085771,04845,2.0,2024-04-19
7894,085793,00338,1.0,2024-05-11
7895,085803,02916,3.0,2024-05-11
7896,091749,00360,6.0,2025-01-13
7897,091759,00360,5.0,2025-01-13
7898,091761,00360,6.0,2025-01-13
7899,091779,00360,6.0,2025-01-13
7900,091781,00360,6.0,2025-01-13
7901,091799,00360,12.0,2025-01-13
7904,091843,04794,2.0,2025-03-05
7905,085929,03921,5.0,2024-03-27
7906,085931,03921,9.0,2024-03-27
