Cliente;grupo;tipo;tamanho;desconto ;skus_sem1;skus_sem2;skus_sem3;fat_sem1;fat_sem2;fat_sem3;marg_sem1;marg_sem2;marg_sem3;;;;;
024677;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024694;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024821;;Varejo;Pequeno;;;;;;;;;;;;;;;
024822;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024827;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024828;;Autocentro;Grande;;;;;;;;;;;;;;;
024833;;Varejo;Pequeno;;;;;;;;;;;;;;;
024863;;Varejo;Pequeno;;;;;;;;;;;;;;;
024865;;Autocentro;Pequeno;;;;;;;;;;;;;;;
024871;;Varejo;Pequeno;;;;;;;;;;;;;;;
026814;;Autocentro;Pequeno;;;;;;;;;;;;;;;
026841;;Varejo;Pequeno;;;;;;;;;;;;;;;
026870;;Varejo;Pequeno;;;;;;;;;;;;;;;
026881;;Varejo;Pequeno;;;;;;;;;;;;;;;
026892;;Autocentro;Pequeno;;;;;;;;;;;;;;;
026905;;Autocentro;Pequeno;;;;;;;;;;;;;;;
026906;;Autocentro;Grande;;;;;;;;;;;;;;;
026908;;Autocentro;Grande;;;;;;;;;;;;;;;
026913;;Varejo;Pequeno;;;;;;;;;;;;;;;
026919;;Autocentro;Pequeno;;;;;;;;;;;;;;;
026920;;Varejo;Pequeno;;;;;;;;;;;;;;;
026922;;Varejo;Grande;;;;;;;;;;;;;;;
026941;;Varejo;Grande;;;;;;;;;;;;;;;
026943;;Varejo;Grande;;;;;;;;;;;;;;;
026946;;Autocentro;Pequeno;;;;;;;;;;;;;;;
026947;;Autocentro;Pequeno;;;;;;;;;;;;;;;
026969;;Varejo;Grande;;;;;;;;;;;;;;;
027014;;Autocentro;Grande;;;;;;;;;;;;;;;
027016;;Varejo;Pequeno;;;;;;;;;;;;;;;
027018;;Varejo;Pequeno;;;;;;;;;;;;;;;
027019;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027036;;Varejo;Pequeno;;;;;;;;;;;;;;;
027043;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027045;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027051;;Varejo;Pequeno;;;;;;;;;;;;;;;
027060;;Varejo;Pequeno;;;;;;;;;;;;;;;
027074;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027089;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027114;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027156;;Varejo;Pequeno;;;;;;;;;;;;;;;
027166;;Varejo;Pequeno;;;;;;;;;;;;;;;
027176;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027181;;Varejo;Pequeno;;;;;;;;;;;;;;;
027182;;Autocentro;Grande;;;;;;;;;;;;;;;
027189;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027191;;Varejo;Pequeno;;;;;;;;;;;;;;;
027207;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027219;;Varejo;Pequeno;;;;;;;;;;;;;;;
027221;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027226;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027227;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027228;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027232;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027235;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027241;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027251;;Varejo;Pequeno;;;;;;;;;;;;;;;
027252;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027255;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027303;;Varejo;Grande;;;;;;;;;;;;;;;
027312;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027340;;Autocentro;Grande;;;;;;;;;;;;;;;
027363;;Varejo;Grande;;;;;;;;;;;;;;;
027411;;Varejo;Pequeno;;;;;;;;;;;;;;;
027413;;Varejo;Grande;;;;;;;;;;;;;;;
027415;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027421;;Autocentro;Grande;;;;;;;;;;;;;;;
027453;;Autocentro;Grande;;;;;;;;;;;;;;;
027466;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027475;;Autocentro;Pequeno;;;;;;;;;;;;;;;
027491;;Varejo;Grande;;;;;;;;;;;;;;;
